method,runs,minimum,mean,median,std,maximum,mean_seconds
GA sigma x1,20,0.014258471172285186,318.1821400205235,207.3321423674037,313.6884400857721,974.4381637655912,0.016880114950009784
GA sigma x3,20,0.6856709527700219,588.3392248048465,281.2797623843173,778.8197535257284,3207.549861237777,0.016540146900001673
Random,20,382242303.8230474,2050879794.9440696,2071236731.040541,716461870.1684662,3086016568.341969,0.0030173719499998696
